Asset Id,Address,Polygon,Zone,Section,Mode of operation,Controller Type,State/County,systemControl,constructionStatus,municipality,Latitude,Longitude,Ramp_Indicator
2586,Alhambra Cir & Salzedo St,87,8,63,SCOOT,D170,County,ATMS,Existing,Coral Gables,25.751978,-80.26078,0
3233,NW 36 St @ NW 4900 Blk,37,5,6,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.808027,-80.2767,0
3234,NW 36 St @ NW 5300 Blk,37,5,6,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.807766,-80.28383,0
3903,NW 66 Av & NW 36 St,37,5,6,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.807161,-80.30327,0
5333,Ludlam Rd & NW 36 St,37,5,6,SCOOT,D170,County,ATMS,Existing,Unincorporated Miami-Dade,25.807411,-80.305176,0
2641,Alton Rd & 6 St,3,3,8,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.775705,-80.140755,1
2642,Alton Rd & 8 St,3,3,8,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.778173,-80.14084,0
2643,Alton Rd & 11 St,3,3,8,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.781738,-80.140945,0
2812,West Av & 15 St,3,3,8,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.787298,-80.14234,0
3372,Alton Rd & 10 St,3,3,8,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.780523,-80.1409,0
3374,West Av & 10 St,3,3,8,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.780493,-80.14216,0
3911,Alton Rd / 14 Ct / 14 St,3,3,8,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.785803,-80.14109,0
4631,Alton Rd & 12 St,3,3,8,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.782743,-80.14097,0
6014,West Av & 8 St,3,3,8,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.778143,-80.14203,0
6470,West Av & 11 St,3,3,8,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.78171,-80.14218,0
2726,James Av & 17 St,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.792309,-80.13076,0
2795,Washington Av & 6 St,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.77587,-80.13387,0
2796,Washington Av & 7 St,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.777063,-80.13358,0
2797,Washington Av & 8 St,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.778337,-80.133316,0
2798,Washington Av & 9 St,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.779474,-80.13308,0
2799,Washington Av & 10 St,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.780714,-80.13281,0
2800,Washington Av & 11 St,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.781946,-80.13255,0
2801,Washington Av & 12 St,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.782957,-80.13232,0
2802,Washington Av & 13 St,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.784185,-80.13212,0
2803,Washington Av & 14 St,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.785429,-80.13195,0
2804,Espanola Way & Washington Av,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.786932,-80.13175,0
2805,Washington Av & 15 St,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.787567,-80.131775,0
2806,Washington Av & 16 St,4,3,9,SCOOT,D170E,County,ATMS,Existing,Miami Beach,25.789116,-80.13181,0
2807,Lincoln Rd & Washington Av,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.790676,-80.13188,0
2808,Washington Av & 17 St,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.792269,-80.13193,0
2809,Washington Av & 20 St,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.7966,-80.13209,0
3393,Washington Av & 18 St,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.793848,-80.13198,0
3394,Washington Av & 19 St,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.795023,-80.13203,0
3506,Washington Av & 21 St,4,3,9,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.797495,-80.13213,0
2650,Alton Rd & Art Godfrey,5,2,10,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.812939,-80.13581,1
2655,Art Godfrey Rd & Chase Av,5,2,10,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.813824,-80.13169,0
2720,Art Godfrey Rd & Indian Creek Dr,5,2,10,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.81326,-80.123955,0
2750,Art Godfrey Rd & Meridian Av,5,2,10,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.813848,-80.13345,0
2771,Art Godfrey Rd & Pine Tree Dr,5,2,10,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.813698,-80.126465,0
2778,Prarie Av & 40 St,5,2,10,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.813068,-80.13062,0
2779,Art Godfrey Rd & Prarie Av,5,2,10,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.81384,-80.130516,0
2781,Royal Palm Av & 40 St,5,2,10,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.81294,-80.12941,0
2782,Art Godfrey Rd & Royal Palm Av,5,2,10,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.813835,-80.12925,0
2783,Art Godfrey Rd & Sheridan Av,5,2,10,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.81381,-80.127594,0
3409,Art Godfrey Rd / Alton Rd / Garden Av,5,2,10,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.813297,-80.13504,1
3905,Art Godfrey Rd / Prarie Av / Royal Palm Av,5,2,10,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.813854,-80.12992,0
3908,Art Godfrey Rd / Royal Palm Av / Sheridan Av,5,2,10,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.813826,-80.1286,0
4154,Pine Tree Dr & 42 St,5,2,10,SCOOT,D170,County,ATMS,Existing,Miami Beach,25.814497,-80.12631,0
2843,LeJeune Rd & Okeechobee Rd,37,6,11,SCOOT,D170E,State,ATMS,Existing,Miami Springs,25.810884,-80.26468,0
2900,Sheridan Dr & NW 36 St,37,5,11,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.808298,-80.26757,0
3022,Royal Poinciana Blvd S & NW 36 St,37,5,11,SCOOT,D170,State,ATMS,Existing,Miami Springs,25.808435,-80.26324,0
3023,Le Jeune Rd & NW 36 St,37,5,11,SCOOT,D170E,State,ATMS,Existing,Miami Springs,25.808392,-80.26458,0
3048,North River Dr & NW 36 St,37,5,11,SCOOT,D170,State,ATMS,Existing,Miami Springs,25.808498,-80.26007,0
3124,LeJeune Rd & NW 25 St,37,5,11,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.798498,-80.26439,0
