asset,polygon,perm_phs,veh_phs,ped_phs,excls_ped_phs,excl_phs,exc_veh_phs_id,excl_ped_phs_in_ovrlp,excl_veh_phs_in_ovrlp,midblock,excl_ped,ped_variant,x_ped_type,ped_note,lpi_adw,lpi_adw_cmmnt,apv,apv_comment,bos,awb,awb_comment,preempt,loc_preempt,rmt_preempt,prempt_comment,num_ovrlp,ovrlp,mltpl_ovrlp,lead_lag,ppin,ppin_id
2001,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[4, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2002,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2003,10,"[1, 2, 3, 4, 6]","[1, 2, 3, 4, 6]","[2, 3, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2004,11,"[2, 4, 5, 6]","[2, 4, 5, 6]","[2, 4, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2007,10,"[1, 2, 4, 5, 6, 8]","[1, 2, 4, 5, 6, 8]","[4, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2010,10,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,Yes,No,there is RR local preemption.,1,Yes,No,Yes,No,[]
2012,10,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2013,10,"[1, 2, 6, 8]","[1, 2, 6, 8]","[2, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2014,10,"[1, 2, 3, 4, 5, 6, 8]","[1, 2, 3, 4, 5, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2016,10,"[2, 3, 4, 6, 7, 8]","[2, 3, 4, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2017,10,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2018,10,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2019,10,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2020,10,"[1, 2, 4, 5, 6, 7, 8]","[1, 2, 4, 5, 6, 7, 8]","[1, 4]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,1,Yes,No,No,No,[]
2023,10,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,Yes,No,there is RR local preemption.,0,No,No,No,No,[]
2024,9,"[1, 2, 4, 5, 6, 7, 8]","[1, 2, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2025,11,"[2, 4, 6]","[2, 6]",[4],[4],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2026,9,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2027,10,[8],[],[8],[8],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2028,9,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2030,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2031,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2036,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2039,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2040,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2043,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2044,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2045,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2047,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2048,Other,"[2, 4, 5, 6, 8]","[2, 4, 5, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2049,Other,"[1, 2, 4, 5, 6, 7, 8]","[1, 2, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,Yes,[1],TOD,there is ped type 1a. ,No,,No,,No,No,,Yes,Yes,No,there is EV local preemption type 2.,1,Yes,No,No,No,[]
2050,Other,"[1, 2, 4, 6, 8]","[1, 2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2051,Other,"[1, 2, 4, 5, 6, 8]","[1, 2, 4, 5, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2053,Other,"[1, 2, 3, 4, 6, 7, 8]","[1, 2, 3, 4, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2054,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]",[4],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2055,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2056,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2057,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2058,Other,"[1, 2, 4, 5, 6, 8]","[1, 2, 4, 5, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2059,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2064,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2065,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2066,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2067,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2068,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,Yes,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2069,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,Yes,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2070,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,Yes,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2071,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,Yes,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2073,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,Yes,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2074,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,Yes,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2075,Other,"[2, 3, 4, 6, 7, 8]","[2, 3, 4, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2076,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2077,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2079,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2080,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2081,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2082,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2083,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2084,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2085,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2086,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[4, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2087,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2088,Other,"[2, 3, 4, 6, 8]","[2, 3, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2089,Other,"[2, 4, 5, 6, 8]","[2, 4, 5, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2090,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2091,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6]",[],No,[],N/A,N/A,Yes,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2092,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2093,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2094,Other,"[2, 3, 4, 6]","[2, 4, 6]","[2, 3, 6]",[3],No,[],N/A,N/A,No,Yes,[3],24/7,there is ped type 3. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2095,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2097,Other,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","[2, 3, 4, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2098,Other,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","[2, 4, 5, 6]",[],Yes,[5],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2099,Other,"[2, 4, 5, 6]","[2, 4, 5, 6]","[2, 4, 6]",[],No,[],N/A,N/A,Yes,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2102,Other,"[1, 2, 4, 5, 6, 8]","[1, 2, 4, 5, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2103,Other,"[1, 2, 6, 8]","[1, 2, 6, 8]","[2, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,Yes,No,there is RR local preemption.,0,No,No,Yes,No,[]
2104,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2105,Other,"[2, 4, 5, 6, 7, 8]","[2, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,Yes,No,there is RR local preemption.,0,No,No,No,No,[]
2108,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2109,Other,"[2, 5, 6, 7, 8]","[2, 5, 6, 7, 8]","[2, 6, 7, 8]",[],Yes,"[8, 7]",N/A,N/A,No,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,Yes,No,[]
2110,Other,"[2, 3, 4, 6, 7, 8]","[2, 3, 4, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2111,Other,"[4, 6, 8]","[4, 6, 8]",[],[],No,[],N/A,N/A,No,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,Yes,Yes,No,there is RR local preemption.,0,No,No,No,No,[]
2112,Other,"[2, 4, 6]","[2, 6]",[4],[4],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2113,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2114,Other,"[2, 3, 4, 6, 7, 8]","[2, 3, 4, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2115,Other,"[2, 4, 5, 6, 7, 8]","[2, 4, 5, 6, 7, 8]","[2, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2116,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2117,Other,"[1, 2, 3, 4, 5, 6, 8]","[1, 2, 3, 4, 5, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,Yes,No,there is EV local preemption type 2.,0,No,No,No,No,[]
2118,Other,"[2, 4, 5, 6, 8]","[2, 4, 5, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2119,Other,"[2, 3, 4, 5, 6, 8]","[2, 3, 4, 5, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2120,Other,"[1, 2, 4, 6, 8]","[1, 2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2121,Other,"[2, 4, 5, 6]","[2, 4, 5, 6]","[2, 4, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,Yes,No,there is RR local preemption.,0,No,No,No,No,[]
2122,Other,"[2, 6, 8]","[2, 6, 8]","[2, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,Yes,No,there is RR local preemption.,0,No,No,No,No,[]
2123,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2124,Other,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","[2, 3, 4, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2125,Other,"[1, 2, 4, 5, 6, 8]","[1, 2, 4, 5, 6, 8]","[2, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2126,Other,"[2, 6, 8]","[2, 6, 8]","[2, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2128,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2129,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2132,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2133,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2135,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2136,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2137,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2138,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2139,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]",[],[],No,[],N/A,N/A,No,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2141,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,Yes,No,there is EV local preemption type 2.,0,No,No,No,No,[]
2143,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2144,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,1,Yes,No,No,Yes,"[231, 232]"
2145,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2146,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2147,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
2148,Other,"[2, 4, 6]","[2, 6]",[4],[4],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
2149,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
