asset,polygon,perm_phs,veh_phs,ped_phs,excls_ped_phs,excl_phs,exc_veh_phs_id,excl_ped_phs_in_ovrlp,excl_veh_phs_in_ovrlp,midblock,excl_ped,ped_variant,x_ped_type,ped_note,lpi_adw,lpi_adw_cmmnt,apv,apv_comment,bos,awb,awb_comment,preempt,loc_preempt,rmt_preempt,prempt_comment,num_ovrlp,ovrlp,mltpl_ovrlp,lead_lag,ppin,ppin_id
6865,Other,"[1, 2, 6, 8]","[1, 2, 6, 8]",[],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6867,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6868,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6869,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,Yes,[1],TOD,there is ped type 1a. there is ped type 1b. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6870,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6872,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6874,Other,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","[2, 4, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6875,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6876,Other,"[1, 2, 6, 7, 8]","[1, 2, 6, 7, 8]","[2, 6, 7]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6877,Other,"[1, 2, 4, 5, 6, 8]","[1, 2, 4, 5, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6878,Other,"[1, 2, 4, 5, 6, 8]","[1, 2, 4, 5, 6, 8]",[8],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6879,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6881,Other,"[2, 5, 6, 7, 8]","[2, 5, 6, 7]","[2, 6, 8]",[8],No,[],Yes,N/A,No,No,[3],N/A,there is ped type 3. Exclusive ped is in Overlaped phases. ,No,,No,,No,No,,No,No,No,,1,Yes,No,No,Yes,[221]
6882,Other,"[2, 4, 5, 6, 7, 8]","[2, 4, 5, 6, 7, 8]","[2, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6885,Other,"[1, 2, 6, 8]","[1, 2, 6, 8]",[8],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6888,Other,"[2, 4, 5, 6, 8]","[2, 4, 5, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6889,Other,"[2, 6, 8]","[2, 6, 8]",[],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6890,Other,"[2, 5, 6, 7, 8]","[2, 5, 6, 7, 8]","[2, 6, 7]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6891,1,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,Yes,No,[]
6893,Other,"[6, 8]","[6, 8]",[],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,Yes,No,there is EV local preemption type 2.,0,No,No,No,No,[]
6894,Other,"[2, 5, 6, 7, 8]","[2, 5, 6, 7]","[2, 6, 8]",[8],No,[],Yes,N/A,No,No,[3],N/A,there is ped type 3. Exclusive ped is in Overlaped phases. ,No,,Yes,Aud Ped Volume is present but not active.,No,No,,No,No,No,,1,Yes,No,No,Yes,[245]
6895,Other,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]",[3],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6896,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6897,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6899,Other,"[1, 2, 3, 4, 6, 8]","[1, 2, 3, 4, 6]","[2, 4, 6, 8]",[8],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,Yes,[233]
6900,Other,"[2, 5, 6]","[2, 5, 6]",[5],[],Yes,[5],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6902,Other,"[2, 4, 6]","[2, 4, 6]",[6],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6905,Other,"[2, 4, 5, 6, 8]","[2, 4, 5, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6908,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6909,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6911,Other,"[1, 2, 6, 8]","[1, 2, 6, 8]","[2, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6914,Other,"[2, 4, 6]","[2, 4, 6]",[4],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6915,4,"[1, 2, 4, 5, 6, 8]","[1, 2, 4, 5, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,Yes,,Yes,Aud Ped Volume is present but not active.,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
6916,6,"[2, 4, 6]","[2, 4, 6]","[2, 4, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,Yes,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6917,9,"[1, 2, 4, 5, 6, 7, 8]","[1, 2, 4, 5, 6, 7, 8]","[2, 4, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6919,3,"[2, 4, 6]","[2, 4, 6]","[2, 4, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6920,Other,"[1, 2, 6, 8]","[1, 2, 6, 8]",[8],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6921,Other,"[1, 2, 4, 5, 6, 8]","[1, 2, 4, 5, 6, 8]",[8],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6922,Other,"[2, 3, 4, 5, 6, 7, 8]","[2, 3, 4, 5, 6, 7, 8]","[2, 6, 8]",[],Yes,"[8, 3, 4, 7]",N/A,Yes,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,1,Yes,No,No,Yes,[230]
6923,6,"[4, 6, 8]","[4, 6, 8]","[4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
6924,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6928,Other,"[1, 2, 6, 8]","[1, 2, 6, 8]",[],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,Yes,No,there is RR local preemption.,0,No,No,No,No,[]
6930,Other,"[1, 2, 6, 8]","[1, 2, 6, 8]","[2, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6931,Other,"[1, 2, 6, 8]","[1, 2, 6, 8]","[2, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6932,Other,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","[2, 4, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6937,Other,"[2, 6, 8]","[2, 6, 8]",[],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6938,Other,"[2, 4, 5, 6, 8]","[2, 4, 5, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,No,Yes,there is remot preemption.,0,No,No,No,No,[]
6939,6,"[2, 4, 6]","[2, 6]",[4],[4],No,[],No,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,1,Yes,No,No,No,[]
6942,Other,"[2, 7, 8]","[2, 7, 8]","[2, 7, 8]",[],Yes,"[8, 7]",N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6943,Other,"[1, 2, 4, 6, 8]","[1, 2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
