,Asset Id,Address,Latitude,Longitude,proposed_MoO
1207,6118,SW 117 Av @ SW 16000 Blk,25.62038,-80.382,NO SCOOT
1208,3665,SW 117 Av & SW 184 St,25.59759,-80.38092,SCOOT
1209,3725,Quail Roost Dr & SW 117 Av,25.591082,-80.38062,SCOOT
1210,3732,SW 117 Av & SW 187 Ter,25.59399,-80.380875,SCOOT
1211,4322,SR-821 SB & SW 184 St,25.597815,-80.37597,NO SCOOT
1212,4323,SR-821 NB & SW 184 St,25.597942,-80.37445,SCOOT
1213,4324,Quail Roost Dr & SR-821 SB,25.595207,-80.37282,SCOOT
1214,4325,Quail Roost Dr & SR-821 NB,25.595448,-80.37146,SCOOT
1215,4495,Quail Roost Dr & SW 107 Av,25.59597,-80.36444,SCOOT
1216,4642,Quail Roost Dr & SW 113 Av,25.59489,-80.374596,SCOOT
1217,4714,SW 107 Av & SW 184 St,25.598293,-80.36446,SCOOT
1218,4717,SW 112 Av & SW 184 St,25.59733,-80.389015,SCOOT
1219,4823,Quail Roost Dr & SW 115 Av,25.592787,-80.378334,SCOOT
1220,4881,SW 115 Av & SW 184 St,25.597692,-80.37888,SCOOT
1221,5193,SW 112 Av & SW 184 St,25.598019,-80.372696,NO SCOOT
1222,5194,SW 134 Av & SW 184 St,25.596685,-80.40931,SCOOT
1223,5396,Quail Roost Dr & SW 122 Av,25.584326,-80.38897,NO SCOOT
1224,5696,SW 137 Av & SW 184 St,25.596533,-80.41338,SCOOT
1225,5751,Quail Roost Dr & SW 127 Av,25.580835,-80.39699,NO SCOOT
1226,5964,SW 147 Av & SW 184 St,25.595955,-80.429695,NO SCOOT
1227,5983,Quail Roost Dr @ SW 12100 Blk,25.586176,-80.3871,NO SCOOT
1228,6027,SW 137 Av & SW 180 St,25.600504,-80.41377,NO SCOOT
1229,6098,SW 127 Av & SW 184 St,25.597084,-80.39708,SCOOT
1230,6413,Marlin Rd & SW 106 Av,25.590935,-80.362236,NO SCOOT
1231,4065,NW 10 Av & NW 119 St,25.883581,-80.214615,SCOOT
